"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador","2016A000210","International exports of sheep and lambs","January to June","Head","148","thousands","3","v44184562","3.12.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International exports of sheep and lambs","July to December","Head","148","thousands","3","v44184822","3.12.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184563","3.13.1","1.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184823","3.13.2","2.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Federal Provincial Inspected Slaughter (FPIS)","January to June","Head","148","thousands","3","v44184564","3.14.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Federal Provincial Inspected Slaughter (FPIS)","July to December","Head","148","thousands","3","v44184824","3.14.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International imports for slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184565","3.15.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International imports for slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184825","3.15.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Provincially inspected slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184566","3.16.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Provincially inspected slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184826","3.16.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Commercial slaughter of sheep and lambs, not elsewhere specified","January to June","Head","148","thousands","3","v44184567","3.17.1","0.3","","","","1"
