DGUID,Apples (m2),"Blueberries, total (m2)",Cranberries (m2),Grapes (m2),Pears (m2),Plums and prunes (m2),Raspberries (m2),Strawberries (m2),Cherries (m2),year,CD,Apples (Fruit kg),Apples (Fruit kg P),"Asparagus, producing (Total kg P)",Pears (Fruit kg),Pears (Fruit kg P),Plums and prunes (Fruit kg),Plums and prunes (Fruit kg P),Grapes (Fruit kg),Grapes (Fruit kg P),Strawberries (Fruit kg),Strawberries (Fruit kg P),Raspberries (Fruit kg),Raspberries (Fruit kg P),Cranberries (Fruit kg),Cranberries (Fruit kg P),"Blueberries, total (Fruit kg)","Blueberries, total (Fruit kg P)",Cherries (Fruit kg),Cherries (Fruit kg P)
2021A00032465,0.0,0.0,0.0,230000.0,0.0,0.0,110000.0,0.0,0.0,2021,2465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117300.0,117.3,0.0,0.0,34100.0,10.23,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0,0.0,2021,2467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178600.0,41.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032468,1420000.0,0.0,0.0,590000.0,0.0,0.0,0.0,0.0,0.0,2021,2468,2997478.0,599.4956,0.0,0.0,0.0,0.0,0.0,300900.0,300.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032469,6160000.0,550000.0,0.0,0.0,40000.0,20000.0,0.0,0.0,20000.0,2021,2469,13003144.0,2600.6288,0.6956,18792.0,1.8792000000000002,2822.0,0.5644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66000.0,7.92,3478.0,0.6956
2021A00032470,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,120000.0,0.0,2021,2470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112800.0,25.944000000000003,6200.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032471,0.0,0.0,0.0,230000.0,0.0,0.0,30000.0,290000.0,0.0,2021,2471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117300.0,117.3,272600.0,62.698,9300.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032472,10210000.0,0.0,0.0,540000.0,50000.0,40000.0,420000.0,1550000.0,0.0,2021,2472,21552289.0,4310.4578,0.0,23490.0,2.349,5644.0,1.1288,275400.0,275.4,1457000.0,335.11,130200.0,39.06,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032473,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,1580000.0,0.0,2021,2473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485200.0,341.596,43400.0,13.02,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032474,1330000.0,0.0,0.0,0.0,10000.0,0.0,200000.0,320000.0,0.0,2021,2474,2807497.0,561.4994,0.0,4698.0,0.46980000000000005,0.0,0.0,0.0,0.0,300800.0,69.184,62000.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0
