DGUID,CD,REF_DATE,Animal,kg P live,kg P carcass,kg P slaugther waste
2021A00032445,2445,2021,Goat,6.484095370829851,3.2420476854149256,3.2420476854149256
2021A00032445,2445,2021,Calves,2263.363213742069,1244.8497675581382,1018.5134461839309
2021A00032445,2445,2021,Cattle,1535.9337390795822,752.6075321489952,783.3262069305867
2021A00032445,2445,2021,Chicken,13896.33180883204,10005.358902359067,3890.9729064729718
2021A00032445,2445,2021,Turkey,997.780289337713,768.2908227900391,229.48946654767394
2021A00032445,2445,2021,Rabbit,8.03772675286621,4.259995179019091,3.7777315738471184
2021A00032446,2446,2021,Hogs,0.0,0.0,0.0
2021A00032446,2446,2021,Sheep,0.0,0.0,0.0
2021A00032446,2446,2021,Goat,0.0,0.0,0.0
2021A00032446,2446,2021,Calves,0.0,0.0,0.0
2021A00032446,2446,2021,Cattle,0.0,0.0,0.0
2021A00032446,2446,2021,Chicken,0.0,0.0,0.0
2021A00032446,2446,2021,Turkey,0.0,0.0,0.0
2021A00032446,2446,2021,Rabbit,0.0,0.0,0.0
2021A00032447,2447,2021,Hogs,0.0,0.0,0.0
2021A00032447,2447,2021,Sheep,0.0,0.0,0.0
2021A00032447,2447,2021,Goat,0.0,0.0,0.0
2021A00032447,2447,2021,Calves,0.0,0.0,0.0
2021A00032447,2447,2021,Cattle,0.0,0.0,0.0
2021A00032447,2447,2021,Chicken,0.0,0.0,0.0
2021A00032447,2447,2021,Turkey,0.0,0.0,0.0
2021A00032447,2447,2021,Rabbit,0.0,0.0,0.0
2021A00032448,2448,2021,Hogs,0.0,0.0,0.0
2021A00032448,2448,2021,Sheep,0.0,0.0,0.0
2021A00032448,2448,2021,Goat,0.0,0.0,0.0
2021A00032448,2448,2021,Calves,0.0,0.0,0.0
2021A00032448,2448,2021,Cattle,0.0,0.0,0.0
2021A00032448,2448,2021,Chicken,0.0,0.0,0.0
2021A00032448,2448,2021,Turkey,0.0,0.0,0.0
2021A00032448,2448,2021,Rabbit,0.0,0.0,0.0
2021A00032449,2449,2021,Hogs,0.0,0.0,0.0
2021A00032449,2449,2021,Sheep,0.0,0.0,0.0
2021A00032449,2449,2021,Goat,0.0,0.0,0.0
2021A00032449,2449,2021,Calves,0.0,0.0,0.0
2021A00032449,2449,2021,Cattle,0.0,0.0,0.0
2021A00032449,2449,2021,Chicken,0.0,0.0,0.0
2021A00032449,2449,2021,Turkey,0.0,0.0,0.0
2021A00032449,2449,2021,Rabbit,0.0,0.0,0.0
2021A00032450,2450,2021,Hogs,0.0,0.0,0.0
2021A00032450,2450,2021,Sheep,0.0,0.0,0.0
2021A00032450,2450,2021,Goat,0.0,0.0,0.0
2021A00032450,2450,2021,Calves,0.0,0.0,0.0
2021A00032450,2450,2021,Cattle,0.0,0.0,0.0
2021A00032450,2450,2021,Chicken,0.0,0.0,0.0
2021A00032450,2450,2021,Turkey,0.0,0.0,0.0
2021A00032450,2450,2021,Rabbit,0.0,0.0,0.0
2021A00032451,2451,2021,Hogs,0.0,0.0,0.0
2021A00032451,2451,2021,Sheep,0.0,0.0,0.0
2021A00032451,2451,2021,Goat,0.0,0.0,0.0
2021A00032451,2451,2021,Calves,0.0,0.0,0.0
2021A00032451,2451,2021,Cattle,0.0,0.0,0.0
2021A00032451,2451,2021,Chicken,0.0,0.0,0.0
2021A00032451,2451,2021,Turkey,0.0,0.0,0.0
2021A00032451,2451,2021,Rabbit,0.0,0.0,0.0
2021A00032452,2452,2021,Hogs,1668.9187505541372,1335.1350004433098,333.78375011082744
2021A00032452,2452,2021,Sheep,5.40506124741833,2.486328173812432,2.918733073605898
2021A00032452,2452,2021,Goat,0.3308211923892781,0.16541059619463905,0.16541059619463905
2021A00032452,2452,2021,Calves,115.47771498684027,63.512743242762156,51.96497174407811
2021A00032452,2452,2021,Cattle,78.36396627957052,38.39834347698955,39.96562280258097
2021A00032452,2452,2021,Chicken,708.9965208587773,510.4774950183197,198.5190258404577
2021A00032452,2452,2021,Turkey,50.907157619271075,39.19851136683873,11.708646252432347
2021A00032452,2452,2021,Rabbit,0.41008809963603104,0.21734669280709645,0.19274140682893456
2021A00032453,2453,2021,Hogs,0.0,0.0,0.0
2021A00032453,2453,2021,Sheep,0.0,0.0,0.0
2021A00032453,2453,2021,Goat,0.0,0.0,0.0
2021A00032453,2453,2021,Calves,0.0,0.0,0.0
2021A00032453,2453,2021,Cattle,0.0,0.0,0.0
2021A00032453,2453,2021,Chicken,0.0,0.0,0.0
2021A00032453,2453,2021,Turkey,0.0,0.0,0.0
2021A00032453,2453,2021,Rabbit,0.0,0.0,0.0
2021A00032454,2454,2021,Hogs,0.0,0.0,0.0
2021A00032454,2454,2021,Sheep,0.0,0.0,0.0
2021A00032454,2454,2021,Goat,0.0,0.0,0.0
2021A00032454,2454,2021,Calves,0.0,0.0,0.0
2021A00032454,2454,2021,Cattle,0.0,0.0,0.0
2021A00032454,2454,2021,Chicken,0.0,0.0,0.0
2021A00032454,2454,2021,Turkey,0.0,0.0,0.0
2021A00032454,2454,2021,Rabbit,0.0,0.0,0.0
2021A00032455,2455,2021,Hogs,0.0,0.0,0.0
2021A00032455,2455,2021,Sheep,0.0,0.0,0.0
2021A00032455,2455,2021,Goat,0.0,0.0,0.0
2021A00032455,2455,2021,Calves,0.0,0.0,0.0
2021A00032455,2455,2021,Cattle,0.0,0.0,0.0
2021A00032455,2455,2021,Chicken,0.0,0.0,0.0
2021A00032455,2455,2021,Turkey,0.0,0.0,0.0
2021A00032455,2455,2021,Rabbit,0.0,0.0,0.0
2021A00032456,2456,2021,Hogs,233314.84132746837,186651.8730619747,46662.968265493655
