"REF_DATE","GEO","DGUID","Supply and disposition of cattle","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Nova Scotia","2016A000212","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123424","6.11.1","111.5","","","","1"
"2000","Nova Scotia","2016A000212","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123425","6.11.2","106.5","","","","1"
"2000","New Brunswick","2016A000213","Total supply of cattle","January to June","Head","148","thousands","3","v41123426","7.1.1","115.0","","","","1"
"2000","New Brunswick","2016A000213","Total supply of cattle","July to December","Head","148","thousands","3","v41123427","7.1.2","108.2","","","","1"
"2000","New Brunswick","2016A000213","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123428","7.2.1","92.0","","","","1"
"2000","New Brunswick","2016A000213","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123429","7.2.2","93.5","","","","1"
"2000","New Brunswick","2016A000213","Calves born","January to June","Head","148","thousands","3","v41123430","7.3.1","23.0","","","","1"
"2000","New Brunswick","2016A000213","Calves born","July to December","Head","148","thousands","3","v41123431","7.3.2","14.7","","","","1"
"2000","New Brunswick","2016A000213","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123432","7.4.1","0.0","","","","1"
"2000","New Brunswick","2016A000213","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123433","7.4.2","0.0","","","","1"
"2000","New Brunswick","2016A000213","International imports of cattle","January to June","Head","148","thousands","3","v41123434","7.5.1","0.0","","","","1"
"2000","New Brunswick","2016A000213","International imports of cattle","July to December","Head","148","thousands","3","v41123435","7.5.2","0.0","","","","1"
"2000","New Brunswick","2016A000213","Total disposition of cattle","January to June","Head","148","thousands","3","v41123436","7.6.1","21.5","","","","1"
"2000","New Brunswick","2016A000213","Total disposition of cattle","July to December","Head","148","thousands","3","v41123437","7.6.2","16.2","","","","1"
